,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14,n1_high,n2_low,signal,keep,benchmark_profit,trend_profit
2016-05-17,204.66,209.82,204.02,-1.743,209.05,208.29,2843597,20160517,1,708,9.90751131525283,9.266607145323276,269.34,203.657,,0.0,-0.017581273774682278,-0.0
2016-05-18,211.17,215.31,207.75,3.181,209.15,204.66,5617519,20160518,2,709,9.694101195684391,9.03905952594684,269.34,203.657,,0.0,0.03131343062954058,0.0
2016-05-19,215.21,216.79,207.3,1.913,213.62,211.17,6866321,20160519,3,710,9.915546541531267,9.451184922487263,260.82,203.657,,0.0,0.018950799321343876,0.0
2016-05-20,220.28,220.55,216.35,2.356,216.99,215.21,9007076,20160520,4,711,9.866860492301157,9.441693599488968,258.99,203.657,,0.0,0.023285168784787043,0.0
2016-05-23,216.22,222.6,215.86,-1.8430000000000002,219.87,220.28,5102479,20160523,0,712,9.641691356637413,9.168134452890438,258.31,203.657,,0.0,-0.018603056529655455,-0.0
2016-05-24,217.91,218.74,215.18,0.782,216.6,216.22,3013843,20160524,1,713,9.228810324215823,8.625716525838373,258.31,203.657,,0.0,0.007785725644204881,0.0
2016-05-25,219.58,221.36,216.51,0.7659999999999999,217.91,217.91,3132615,20160525,2,714,8.857100294741658,8.160954322393259,258.31,203.657,,0.0,0.007634497297756297,0.0
2016-05-26,225.12,225.26,219.05,2.523,220.5,219.58,4072424,20160526,3,715,8.720091177037876,8.052827079407498,258.31,203.657,,0.0,0.024916962559492474,0.0
2016-05-27,223.04,225.93,220.75,-0.924,224.99,225.12,3650272,20160527,4,716,8.504628342761707,7.825783468819835,258.31,203.657,,0.0,-0.009282465793919949,-0.0
2016-05-31,223.23,224.75,221.5,0.085,223.04,223.04,2789002,20160531,1,717,8.06057122069246,7.265012339643853,257.38,203.657,,0.0,0.0008515025051203852,0.0
2016-06-01,219.56,222.4,216.89,-1.6440000000000001,221.48,223.23,2982695,20160601,2,718,7.8868829279022306,7.116344027691333,257.38,203.657,,0.0,-0.01657708639559102,-0.0
2016-06-02,218.96,219.90900000000002,217.11,-0.273,219.59,219.56,2032832,20160602,3,719,7.726257207183841,6.983498157332481,257.38,203.657,,0.0,-0.002736478949264766,-0.0
2016-06-03,218.99,221.94,218.01,0.013999999999999999,220.0,218.96,2228970,20160603,4,720,7.381142915621674,6.576365069688151,257.38,204.02,,0.0,0.00013700194107523273,0.0
