,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
46,000001.SZ,2013-01-04 14:14:00,16.09,16.1,16.09,16.1,79200.0,1274740.0,20130104,16.1
47,000001.SZ,2013-01-04 14:13:00,16.08,16.1,16.08,16.1,20150.0,324230.0,20130104,16.09
48,000001.SZ,2013-01-04 14:12:00,16.08,16.1,16.08,16.09,68900.0,1108890.0,20130104,16.08
49,000001.SZ,2013-01-04 14:11:00,16.08,16.08,16.06,16.08,23165.0,372387.0,20130104,16.06
50,000001.SZ,2013-01-04 14:10:00,16.05,16.06,16.05,16.06,71601.0,1149223.0,20130104,16.05
51,000001.SZ,2013-01-04 14:09:00,16.09,16.09,16.04,16.05,221999.0,3567353.0,20130104,16.08
52,000001.SZ,2013-01-04 14:08:00,16.1,16.1,16.08,16.08,160300.0,2580169.0,20130104,16.1
53,000001.SZ,2013-01-04 14:07:00,16.09,16.1,16.09,16.1,60300.0,970658.0,20130104,16.09
54,000001.SZ,2013-01-04 14:06:00,16.09,16.1,16.09,16.09,103045.0,1658023.0,20130104,16.09
55,000001.SZ,2013-01-04 14:05:00,16.09,16.09,16.08,16.09,58756.0,945199.0,20130104,16.09
56,000001.SZ,2013-01-04 14:04:00,16.08,16.09,16.08,16.09,30955.0,498021.0,20130104,16.1
57,000001.SZ,2013-01-04 14:03:00,16.09,16.1,16.09,16.1,33245.0,534914.0,20130104,16.09
58,000001.SZ,2013-01-04 14:02:00,16.08,16.09,16.08,16.09,71300.0,1147002.0,20130104,16.06
59,000001.SZ,2013-01-04 14:01:00,16.07,16.08,16.06,16.06,62800.0,1009461.0,20130104,16.07
60,000001.SZ,2013-01-04 14:00:00,16.07,16.08,16.05,16.07,42700.0,686002.0,20130104,16.08
61,000001.SZ,2013-01-04 13:59:00,16.07,16.08,16.06,16.08,35700.0,573655.0,20130104,16.08
62,000001.SZ,2013-01-04 13:58:00,16.06,16.09,16.06,16.08,28700.0,461721.0,20130104,16.06
63,000001.SZ,2013-01-04 13:57:00,16.03,16.06,16.03,16.06,125803.0,2017773.0,20130104,16.04
64,000001.SZ,2013-01-04 13:56:00,16.03,16.04,16.03,16.04,27138.0,435219.0,20130104,16.04
65,000001.SZ,2013-01-04 13:55:00,16.03,16.04,16.03,16.04,42346.0,679022.0,20130104,16.04
66,000001.SZ,2013-01-04 13:54:00,16.03,16.04,16.02,16.04,94100.0,1508615.0,20130104,16.04
67,000001.SZ,2013-01-04 13:53:00,16.03,16.04,16.03,16.04,74700.0,1198065.0,20130104,16.03
68,000001.SZ,2013-01-04 13:52:00,16.08,16.08,16.03,16.03,122927.0,1972405.0,20130104,16.05
69,000001.SZ,2013-01-04 13:51:00,16.05,16.06,16.04,16.05,24973.0,400824.0,20130104,16.04
70,000001.SZ,2013-01-04 13:50:00,16.09,16.09,16.04,16.04,263327.0,4227319.0,20130104,16.09
71,000001.SZ,2013-01-04 13:49:00,16.1,16.1,16.09,16.09,4900.0,78838.0,20130104,16.1
72,000001.SZ,2013-01-04 13:48:00,16.11,16.12,16.08,16.1,122192.0,1967374.0,20130104,16.11
73,000001.SZ,2013-01-04 13:47:00,16.1,16.11,16.1,16.11,14183.0,228403.0,20130104,16.1
74,000001.SZ,2013-01-04 13:46:00,16.12,16.12,16.1,16.1,20980.0,337904.0,20130104,16.12
75,000001.SZ,2013-01-04 13:45:00,16.12,16.12,16.1,16.12,9200.0,148244.0,20130104,16.1
76,000001.SZ,2013-01-04 13:44:00,16.13,16.13,16.1,16.1,41145.0,663148.0,20130104,16.12
77,000001.SZ,2013-01-04 13:43:00,16.14,16.15,16.12,16.12,129000.0,2082606.0,20130104,16.14
78,000001.SZ,2013-01-04 13:42:00,16.12,16.14,16.11,16.14,129876.0,2094279.0,20130104,16.11
79,000001.SZ,2013-01-04 13:41:00,16.09,16.12,16.09,16.11,697800.0,11239510.0,20130104,16.08
80,000001.SZ,2013-01-04 13:40:00,16.05,16.08,16.05,16.08,79573.0,1277892.0,20130104,16.05
81,000001.SZ,2013-01-04 13:39:00,16.05,16.05,16.04,16.05,83400.0,1338511.0,20130104,16.06
82,000001.SZ,2013-01-04 13:38:00,16.07,16.08,16.06,16.06,73820.0,1185856.0,20130104,16.07
83,000001.SZ,2013-01-04 13:37:00,16.06,16.07,16.05,16.07,68880.0,1106242.0,20130104,16.06
84,000001.SZ,2013-01-04 13:36:00,16.04,16.06,16.03,16.06,118000.0,1894010.0,20130104,16.04
85,000001.SZ,2013-01-04 13:35:00,16.05,16.06,16.04,16.04,48210.0,773835.0,20130104,16.05
86,000001.SZ,2013-01-04 13:34:00,16.06,16.06,16.05,16.05,58600.0,940564.0,20130104,16.06
